<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
AUDUSD	D	01/01/16	00:00:00	0.7286200	0.7290600	0.7275700	0.7288800	13214
AUDUSD	D	03/01/16	00:00:00	0.7295000	0.7299700	0.7281700	0.7283000	716
AUDUSD	D	04/01/16	00:00:00	0.7283000	0.7301400	0.7151000	0.7188300	1332988
AUDUSD	D	05/01/16	00:00:00	0.7188200	0.7214600	0.7128000	0.7162600	1423559
AUDUSD	D	06/01/16	00:00:00	0.7163100	0.7171600	0.7045000	0.7065500	1688604
AUDUSD	D	07/01/16	00:00:00	0.7065200	0.7086100	0.6977000	0.7005000	1774147
AUDUSD	D	08/01/16	00:00:00	0.7005100	0.7076800	0.6959000	0.6974400	1768000
AUDUSD	D	09/01/16	00:00:00	0.6975400	0.6980600	0.6946800	0.6951400	36230
AUDUSD	D	10/01/16	00:00:00	0.6950000	0.6967000	0.6950000	0.6965000	988
AUDUSD	D	11/01/16	00:00:00	0.6965000	0.7035700	0.6925400	0.6990700	1743757
AUDUSD	D	12/01/16	00:00:00	0.6990800	0.7021000	0.6935000	0.6988200	1825699
AUDUSD	D	13/01/16	00:00:00	0.6988100	0.7048700	0.6948000	0.6966300	1694602
AUDUSD	D	14/01/16	00:00:00	0.6966300	0.6996800	0.6907000	0.6984700	1910468
AUDUSD	D	15/01/16	00:00:00	0.6984400	0.7002000	0.6825000	0.6860400	1831480
AUDUSD	D	16/01/16	00:00:00	0.6860400	0.6874000	0.6847200	0.6858000	36762
AUDUSD	D	17/01/16	00:00:00	0.6867000	0.6867000	0.6829000	0.6839000	718
AUDUSD	D	18/01/16	00:00:00	0.6839000	0.6928000	0.6831000	0.6859200	1461152
AUDUSD	D	19/01/16	00:00:00	0.6859200	0.6957400	0.6836000	0.6920700	1813048
AUDUSD	D	20/01/16	00:00:00	0.6921000	0.6925200	0.6825000	0.6916200	2034623
AUDUSD	D	21/01/16	00:00:00	0.6916100	0.7017400	0.6871000	0.7011400	2101874
AUDUSD	D	22/01/16	00:00:00	0.7011400	0.7046000	0.6984000	0.7006700	1741093
AUDUSD	D	23/01/16	00:00:00	0.7006900	0.7010000	0.6996500	0.6998000	22987
AUDUSD	D	24/01/16	00:00:00	0.6990000	0.7003100	0.6988000	0.7003000	612
AUDUSD	D	25/01/16	00:00:00	0.7003000	0.7031500	0.6949000	0.6952500	1501758
AUDUSD	D	26/01/16	00:00:00	0.6952300	0.7021200	0.6914000	0.7016100	1668049
AUDUSD	D	27/01/16	00:00:00	0.7016500	0.7081700	0.6989700	0.7028000	2088931
AUDUSD	D	28/01/16	00:00:00	0.7027200	0.7128500	0.7005000	0.7080900	1846090
AUDUSD	D	29/01/16	00:00:00	0.7080900	0.7141000	0.7054000	0.7078900	1943037
AUDUSD	D	30/01/16	00:00:00	0.7078000	0.7086700	0.7074900	0.7079600	28256
AUDUSD	D	31/01/16	00:00:00	0.7080500	0.7086000	0.7076000	0.7085200	635
AUDUSD	D	01/02/16	00:00:00	0.7085000	0.7121000	0.7040000	0.7106200	1447696
AUDUSD	D	02/02/16	00:00:00	0.7106700	0.7129300	0.7035000	0.7049500	1606373
AUDUSD	D	03/02/16	00:00:00	0.7049800	0.7189400	0.7000000	0.7178400	1783657
AUDUSD	D	04/02/16	00:00:00	0.7178000	0.7242800	0.7150000	0.7199400	1715775
AUDUSD	D	05/02/16	00:00:00	0.7200200	0.7219500	0.7062000	0.7072000	1393111
AUDUSD	D	06/02/16	00:00:00	0.7071800	0.7075500	0.7058000	0.7066600	30024
AUDUSD	D	07/02/16	00:00:00	0.7065000	0.7085200	0.7065000	0.7068400	269
AUDUSD	D	08/02/16	00:00:00	0.7067700	0.7128500	0.7047000	0.7087200	1575286
AUDUSD	D	09/02/16	00:00:00	0.7087300	0.7095800	0.6971000	0.7066300	1948628
AUDUSD	D	10/02/16	00:00:00	0.7066400	0.7125200	0.7035000	0.7109100	1920659
AUDUSD	D	11/02/16	00:00:00	0.7109100	0.7153100	0.6982900	0.7100200	2245584
AUDUSD	D	12/02/16	00:00:00	0.7099900	0.7128200	0.7060000	0.7100800	1866171
AUDUSD	D	13/02/16	00:00:00	0.7100500	0.7110000	0.7094700	0.7108700	28331
AUDUSD	D	14/02/16	00:00:00	0.7104600	0.7116600	0.7101800	0.7108000	463
AUDUSD	D	15/02/16	00:00:00	0.7108000	0.7171500	0.7097500	0.7137400	1520089
AUDUSD	D	16/02/16	00:00:00	0.7137600	0.7181800	0.7078000	0.7103200	1907124
AUDUSD	D	17/02/16	00:00:00	0.7103400	0.7186700	0.7080000	0.7177300	1965139
AUDUSD	D	18/02/16	00:00:00	0.7176900	0.7186200	0.7131000	0.7147300	1833332
AUDUSD	D	19/02/16	00:00:00	0.7147600	0.7161800	0.7066000	0.7148900	1742914
AUDUSD	D	20/02/16	00:00:00	0.7149200	0.7150400	0.7143000	0.7146100	25359
AUDUSD	D	21/02/16	00:00:00	0.7151100	0.7158100	0.7137000	0.7151000	1327
AUDUSD	D	22/02/16	00:00:00	0.7148600	0.7246700	0.7133000	0.7236100	1606454
AUDUSD	D	23/02/16	00:00:00	0.7235600	0.7259100	0.7195000	0.7215200	1916388
AUDUSD	D	24/02/16	00:00:00	0.7216000	0.7216700	0.7142000	0.7201400	1729318
AUDUSD	D	25/02/16	00:00:00	0.7201000	0.7243400	0.7154800	0.7232400	2000427
AUDUSD	D	26/02/16	00:00:00	0.7232000	0.7256300	0.7115000	0.7129100	1918297
AUDUSD	D	27/02/16	00:00:00	0.7129900	0.7131100	0.7120300	0.7127300	24076
AUDUSD	D	28/02/16	00:00:00	0.7129000	0.7138300	0.7122000	0.7134000	640
AUDUSD	D	29/02/16	00:00:00	0.7133100	0.7168100	0.7106800	0.7137200	1802819
AUDUSD	D	01/03/16	00:00:00	0.7137200	0.7192100	0.7106000	0.7179200	1968960
AUDUSD	D	02/03/16	00:00:00	0.7176000	0.7301000	0.7160600	0.7291700	2018384
AUDUSD	D	03/03/16	00:00:00	0.7291700	0.7373900	0.7279000	0.7359300	1685968
AUDUSD	D	04/03/16	00:00:00	0.7359400	0.7443100	0.7338000	0.7431700	2071911
AUDUSD	D	05/03/16	00:00:00	0.7431600	0.7440000	0.7424000	0.7433200	34616
AUDUSD	D	06/03/16	00:00:00	0.7418400	0.7420100	0.7395000	0.7406300	751
AUDUSD	D	07/03/16	00:00:00	0.7403100	0.7484500	0.7388000	0.7469900	1590830
AUDUSD	D	08/03/16	00:00:00	0.7470200	0.7472700	0.7406000	0.7435300	1870086
AUDUSD	D	09/03/16	00:00:00	0.7435000	0.7528000	0.7409000	0.7485600	2131069
AUDUSD	D	10/03/16	00:00:00	0.7485600	0.7511900	0.7425000	0.7449600	2271467
AUDUSD	D	11/03/16	00:00:00	0.7449600	0.7583400	0.7444000	0.7560300	2103448
AUDUSD	D	12/03/16	00:00:00	0.7560200	0.7567500	0.7550000	0.7563500	33207
AUDUSD	D	13/03/16	00:00:00	0.7542000	0.7554000	0.7537000	0.7540200	910
AUDUSD	D	14/03/16	00:00:00	0.7541600	0.7593600	0.7489000	0.7512500	1779160
AUDUSD	D	15/03/16	00:00:00	0.7511400	0.7527800	0.7441000	0.7455600	1981776
AUDUSD	D	16/03/16	00:00:00	0.7451200	0.7560800	0.7411000	0.7548600	1943017
AUDUSD	D	17/03/16	00:00:00	0.7548800	0.7657000	0.7530000	0.7643100	2227812
AUDUSD	D	18/03/16	00:00:00	0.7647200	0.7680200	0.7591000	0.7599900	1831048
AUDUSD	D	19/03/16	00:00:00	0.7604100	0.7604100	0.7599000	0.7599000	73
