<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
EURUSD	D	01/01/16	00:00:00	1.0865500	1.0869500	1.0848000	1.0858400	34724
EURUSD	D	02/01/16	00:00:00	1.0863000	1.0863600	1.0858400	1.0858400	108
EURUSD	D	03/01/16	00:00:00	1.0850000	1.0861700	1.0849100	1.0853800	2238
EURUSD	D	04/01/16	00:00:00	1.0855100	1.0946300	1.0779000	1.0828500	1868632
EURUSD	D	05/01/16	00:00:00	1.0828700	1.0838800	1.0708000	1.0750400	1693222
EURUSD	D	06/01/16	00:00:00	1.0750100	1.0799400	1.0713600	1.0787000	1876213
EURUSD	D	07/01/16	00:00:00	1.0787000	1.0940100	1.0770000	1.0934300	2165088
EURUSD	D	08/01/16	00:00:00	1.0934600	1.0940000	1.0801300	1.0918000	2160739
EURUSD	D	09/01/16	00:00:00	1.0919300	1.0930300	1.0914700	1.0919300	41168
EURUSD	D	10/01/16	00:00:00	1.0919500	1.0919500	1.0912000	1.0915000	1687
EURUSD	D	11/01/16	00:00:00	1.0917000	1.0969800	1.0846900	1.0852100	1941372
EURUSD	D	12/01/16	00:00:00	1.0851700	1.0900200	1.0818000	1.0853700	2054182
EURUSD	D	13/01/16	00:00:00	1.0853900	1.0883600	1.0802000	1.0882500	2070597
EURUSD	D	14/01/16	00:00:00	1.0882600	1.0943200	1.0833100	1.0864600	2264097
EURUSD	D	15/01/16	00:00:00	1.0864400	1.0984600	1.0852500	1.0917400	2350331
EURUSD	D	16/01/16	00:00:00	1.0917200	1.0920000	1.0903700	1.0915800	36904
EURUSD	D	17/01/16	00:00:00	1.0910000	1.0937900	1.0909000	1.0927700	4051
EURUSD	D	18/01/16	00:00:00	1.0927600	1.0937100	1.0868000	1.0898100	1475044
EURUSD	D	19/01/16	00:00:00	1.0898500	1.0938900	1.0857000	1.0909900	1893361
EURUSD	D	20/01/16	00:00:00	1.0910200	1.0976000	1.0874800	1.0891100	2276026
EURUSD	D	21/01/16	00:00:00	1.0891200	1.0921600	1.0777000	1.0887700	2499375
EURUSD	D	22/01/16	00:00:00	1.0887900	1.0889100	1.0787500	1.0795900	2069026
EURUSD	D	23/01/16	00:00:00	1.0796800	1.0801600	1.0791500	1.0793400	35604
EURUSD	D	24/01/16	00:00:00	1.0797800	1.0799600	1.0788300	1.0790900	593
EURUSD	D	25/01/16	00:00:00	1.0791700	1.0856600	1.0786400	1.0854000	1694772
EURUSD	D	26/01/16	00:00:00	1.0854100	1.0874400	1.0816000	1.0858900	1735616
EURUSD	D	27/01/16	00:00:00	1.0858800	1.0916500	1.0848500	1.0891600	2003296
