<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GBPJPY	D	01/01/20	00:00:00	144.1400000	144.2400000	143.7860000	144.0560000	65480
GBPJPY	D	02/01/20	00:00:00	144.0530000	144.1870000	142.2500000	142.7020000	2046185
GBPJPY	D	03/01/20	00:00:00	142.7010000	142.7530000	140.9760000	141.4700000	2781417
GBPJPY	D	05/01/20	00:00:00	141.6400000	141.6600000	140.8020000	141.1880000	137694
GBPJPY	D	06/01/20	00:00:00	141.1890000	142.8350000	141.0900000	142.7960000	2355670
GBPJPY	D	07/01/20	00:00:00	142.7810000	143.2960000	141.3100000	141.6250000	2579255
GBPJPY	D	08/01/20	00:00:00	141.6180000	143.1070000	141.1000000	142.8880000	3619745
GBPJPY	D	09/01/20	00:00:00	142.8880000	143.4560000	142.3940000	143.0730000	2263866
GBPJPY	D	10/01/20	00:00:00	143.0900000	143.5000000	142.8600000	142.9300000	1946125
GBPJPY	D	12/01/20	00:00:00	142.9100000	143.0100000	142.5100000	142.8960000	95334
GBPJPY	D	13/01/20	00:00:00	142.8900000	142.9730000	142.3400000	142.8560000	1969930
GBPJPY	D	14/01/20	00:00:00	142.8600000	143.4350000	142.4200000	143.0200000	2350077
GBPJPY	D	15/01/20	00:00:00	143.0400000	143.4700000	142.6430000	143.2760000	2154183
GBPJPY	D	16/01/20	00:00:00	143.2750000	144.1690000	143.2100000	144.0710000	2038784
GBPJPY	D	17/01/20	00:00:00	144.0730000	144.5300000	143.2070000	143.3100000	1991491
GBPJPY	D	19/01/20	00:00:00	143.1600000	143.3300000	142.9000000	143.2800000	107053
GBPJPY	D	20/01/20	00:00:00	143.2950000	143.3700000	142.7700000	143.2680000	1302865
GBPJPY	D	21/01/20	00:00:00	143.2630000	143.9730000	142.8390000	143.3810000	2285074
GBPJPY	D	22/01/20	00:00:00	143.3780000	144.6100000	143.3000000	144.2290000	2314431
GBPJPY	D	23/01/20	00:00:00	144.2330000	144.3070000	143.1800000	143.7330000	2208243
GBPJPY	D	24/01/20	00:00:00	143.7360000	144.4170000	142.6900000	142.9300000	2263466
GBPJPY	D	26/01/20	00:00:00	142.6700000	142.7300000	142.0380000	142.0900000	211862
GBPJPY	D	27/01/20	00:00:00	142.1040000	142.7480000	142.0470000	142.2490000	2356778
GBPJPY	D	28/01/20	00:00:00	142.2540000	142.4600000	141.4600000	142.1270000	2235210
GBPJPY	D	29/01/20	00:00:00	142.1270000	142.2320000	141.5600000	141.9090000	1940500
GBPJPY	D	30/01/20	00:00:00	141.9120000	142.7100000	141.2300000	142.4720000	2762342
GBPJPY	D	31/01/20	00:00:00	142.4790000	143.2860000	142.4600000	143.0700000	2446171
GBPJPY	D	02/02/20	00:00:00	143.2900000	143.2900000	142.6200000	142.8640000	135695
GBPJPY	D	03/02/20	00:00:00	142.8640000	143.1070000	141.0500000	141.1650000	2673091
GBPJPY	D	04/02/20	00:00:00	141.1670000	142.8420000	140.9000000	142.6070000	2387529
GBPJPY	D	05/02/20	00:00:00	142.6070000	143.3780000	142.2030000	142.7050000	2435671
GBPJPY	D	06/02/20	00:00:00	142.7020000	142.8230000	142.0680000	142.1870000	1976624
GBPJPY	D	07/02/20	00:00:00	142.1820000	142.3770000	141.2980000	141.5100000	1991853
GBPJPY	D	09/02/20	00:00:00	141.4380000	141.7200000	141.2130000	141.2830000	142628
GBPJPY	D	10/02/20	00:00:00	141.2920000	142.0950000	141.2560000	141.7610000	2075939
GBPJPY	D	11/02/20	00:00:00	141.7670000	142.4630000	141.6700000	142.2980000	1865021
GBPJPY	D	12/02/20	00:00:00	142.2970000	142.8880000	142.1950000	142.3480000	1900509
GBPJPY	D	13/02/20	00:00:00	142.3610000	143.4760000	142.1160000	143.1890000	2166964
