<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
GBPUSD	D	01/01/18	00:00:00	1.3505000	1.3518000	1.3491000	1.3517000	1350
GBPUSD	D	02/01/18	00:00:00	1.3515000	1.3601000	1.3498000	1.3596000	1500804
GBPUSD	D	03/01/18	00:00:00	1.3596000	1.3613000	1.3493000	1.3511000	1595774
GBPUSD	D	04/01/18	00:00:00	1.3511000	1.3560000	1.3503000	1.3552000	1562635
GBPUSD	D	05/01/18	00:00:00	1.3553000	1.3583000	1.3522000	1.3567000	1589670
GBPUSD	D	06/01/18	00:00:00	1.3567000	1.3569000	1.3561000	1.3564000	46787
GBPUSD	D	07/01/18	00:00:00	1.3570000	1.3573000	1.3554000	1.3558000	458
GBPUSD	D	08/01/18	00:00:00	1.3561000	1.3586000	1.3522000	1.3565000	1317828
GBPUSD	D	09/01/18	00:00:00	1.3565000	1.3582000	1.3504000	1.3540000	1475169
GBPUSD	D	10/01/18	00:00:00	1.3539000	1.3562000	1.3481000	1.3512000	1878298
GBPUSD	D	11/01/18	00:00:00	1.3512000	1.3555000	1.3456000	1.3536000	1786857
GBPUSD	D	12/01/18	00:00:00	1.3535000	1.3737000	1.3529000	1.3732000	1995529
GBPUSD	D	13/01/18	00:00:00	1.3731000	1.3744000	1.3724000	1.3725000	76309
GBPUSD	D	14/01/18	00:00:00	1.3727000	1.3738000	1.3727000	1.3737000	198
GBPUSD	D	15/01/18	00:00:00	1.3736000	1.3820000	1.3723000	1.3798000	1636115
GBPUSD	D	16/01/18	00:00:00	1.3797000	1.3806000	1.3740000	1.3795000	1782889
GBPUSD	D	17/01/18	00:00:00	1.3794000	1.3943000	1.3755000	1.3855000	2104394
GBPUSD	D	18/01/18	00:00:00	1.3855000	1.3913000	1.3803000	1.3890000	2033639
GBPUSD	D	19/01/18	00:00:00	1.3890000	1.3945000	1.3838000	1.3863000	1959002
GBPUSD	D	20/01/18	00:00:00	1.3862000	1.3873000	1.3844000	1.3854000	104399
GBPUSD	D	21/01/18	00:00:00	1.3875000	1.3889000	1.3871000	1.3887000	584
GBPUSD	D	22/01/18	00:00:00	1.3886000	1.3991000	1.3855000	1.3988000	1705467
GBPUSD	D	23/01/18	00:00:00	1.3988000	1.4028000	1.3915000	1.3997000	1974965
GBPUSD	D	24/01/18	00:00:00	1.3997000	1.4242000	1.3994000	1.4208000	2273796
GBPUSD	D	25/01/18	00:00:00	1.4208000	1.4346000	1.4082000	1.4141000	2894027
GBPUSD	D	26/01/18	00:00:00	1.4141000	1.4287000	1.4106000	1.4146000	2629646
GBPUSD	D	27/01/18	00:00:00	1.4146000	1.4170000	1.4141000	1.4154000	78656
GBPUSD	D	28/01/18	00:00:00	1.4157000	1.4157000	1.4140000	1.4142000	58
GBPUSD	D	29/01/18	00:00:00	1.4142000	1.4159000	1.4024000	1.4075000	1965069
GBPUSD	D	30/01/18	00:00:00	1.4074000	1.4167000	1.3979000	1.4140000	2348734
GBPUSD	D	31/01/18	00:00:00	1.4139000	1.4233000	1.4121000	1.4198000	2620554
GBPUSD	D	01/02/18	00:00:00	1.4198000	1.4278000	1.4158000	1.4271000	2125875
GBPUSD	D	02/02/18	00:00:00	1.4271000	1.4278000	1.4100000	1.4122000	1949431
GBPUSD	D	03/02/18	00:00:00	1.4122000	1.4123000	1.4111000	1.4120000	51313
GBPUSD	D	04/02/18	00:00:00	1.4121000	1.4134000	1.4103000	1.4103000	618
GBPUSD	D	05/02/18	00:00:00	1.4105000	1.4151000	1.3963000	1.3965000	2417871
GBPUSD	D	06/02/18	00:00:00	1.3965000	1.4000000	1.3835000	1.3949000	2936249
GBPUSD	D	07/02/18	00:00:00	1.3949000	1.3994000	1.3847000	1.3879000	2295092
GBPUSD	D	08/02/18	00:00:00	1.3879000	1.4067000	1.3844000	1.3897000	2737719
GBPUSD	D	09/02/18	00:00:00	1.3898000	1.3987000	1.3763000	1.3820000	2618376
GBPUSD	D	10/02/18	00:00:00	1.3821000	1.3833000	1.3818000	1.3828000	64053
GBPUSD	D	11/02/18	00:00:00	1.3818000	1.3820000	1.3809000	1.3811000	249
GBPUSD	D	12/02/18	00:00:00	1.3811000	1.3876000	1.3795000	1.3833000	1619048
GBPUSD	D	13/02/18	00:00:00	1.3834000	1.3924000	1.3829000	1.3886000	1986064
GBPUSD	D	14/02/18	00:00:00	1.3886000	1.4017000	1.3799000	1.4016000	2155496
GBPUSD	D	15/02/18	00:00:00	1.4016000	1.4105000	1.3992000	1.4098000	2347386
GBPUSD	D	16/02/18	00:00:00	1.4099000	1.4145000	1.3995000	1.4012000	2082091
GBPUSD	D	17/02/18	00:00:00	1.4012000	1.4037000	1.4010000	1.4025000	45548
GBPUSD	D	18/02/18	00:00:00	1.4024000	1.4031000	1.4004000	1.4008000	327
GBPUSD	D	19/02/18	00:00:00	1.4013000	1.4050000	1.3957000	1.3998000	1301022
GBPUSD	D	20/02/18	00:00:00	1.3998000	1.4025000	1.3930000	1.3991000	1752332
GBPUSD	D	21/02/18	00:00:00	1.3991000	1.4009000	1.3904000	1.3919000	2020812
GBPUSD	D	22/02/18	00:00:00	1.3920000	1.3989000	1.3855000	1.3949000	1768741
GBPUSD	D	23/02/18	00:00:00	1.3949000	1.4006000	1.3904000	1.3966000	1652980
GBPUSD	D	24/02/18	00:00:00	1.3966000	1.3972000	1.3961000	1.3965000	53299
GBPUSD	D	25/02/18	00:00:00	1.3970000	1.3981000	1.3967000	1.3969000	636
GBPUSD	D	26/02/18	00:00:00	1.3974000	1.4070000	1.3927000	1.3964000	1431322
GBPUSD	D	27/02/18	00:00:00	1.3964000	1.3996000	1.3857000	1.3905000	1941890
GBPUSD	D	28/02/18	00:00:00	1.3904000	1.3917000	1.3755000	1.3766000	1879871
GBPUSD	D	01/03/18	00:00:00	1.3765000	1.3786000	1.3710000	1.3774000	1916325
GBPUSD	D	02/03/18	00:00:00	1.3774000	1.3817000	1.3754000	1.3791000	2032388
GBPUSD	D	03/03/18	00:00:00	1.3790000	1.3804000	1.3787000	1.3799000	54311
GBPUSD	D	04/03/18	00:00:00	1.3793000	1.3811000	1.3791000	1.3807000	302
GBPUSD	D	05/03/18	00:00:00	1.3809000	1.3878000	1.3766000	1.3847000	2011356
GBPUSD	D	06/03/18	00:00:00	1.3846000	1.3930000	1.3815000	1.3888000	2055404
GBPUSD	D	07/03/18	00:00:00	1.3888000	1.3913000	1.3844000	1.3904000	2180426
GBPUSD	D	08/03/18	00:00:00	1.3904000	1.3910000	1.3780000	1.3813000	2101260
GBPUSD	D	09/03/18	00:00:00	1.3813000	1.3889000	1.3786000	1.3847000	2060404
GBPUSD	D	10/03/18	00:00:00	1.3846000	1.3855000	1.3842000	1.3851000	42019
GBPUSD	D	11/03/18	00:00:00	1.3851000	1.3855000	1.3845000	1.3852000	177
GBPUSD	D	12/03/18	00:00:00	1.3849000	1.3918000	1.3840000	1.3905000	1246356
GBPUSD	D	13/03/18	00:00:00	1.3904000	1.3995000	1.3873000	1.3960000	1465830
GBPUSD	D	14/03/18	00:00:00	1.3959000	1.3996000	1.3924000	1.3960000	1388912
GBPUSD	D	15/03/18	00:00:00	1.3961000	1.3989000	1.3920000	1.3935000	1375793
GBPUSD	D	16/03/18	00:00:00	1.3935000	1.3981000	1.3888000	1.3943000	1102184
GBPUSD	D	17/03/18	00:00:00	1.3941000	1.3941000	1.3941000	1.3941000	1
GBPUSD	D	18/03/18	00:00:00	1.3943000	1.3946000	1.3933000	1.3936000	289
GBPUSD	D	19/03/18	00:00:00	1.3942000	1.4088000	1.3911000	1.4024000	1555262
GBPUSD	D	20/03/18	00:00:00	1.4024000	1.4067000	1.3982000	1.3997000	1528531
GBPUSD	D	21/03/18	00:00:00	1.3997000	1.4151000	1.3993000	1.4139000	1813166
GBPUSD	D	22/03/18	00:00:00	1.4139000	1.4220000	1.4074000	1.4096000	1784490
GBPUSD	D	23/03/18	00:00:00	1.4096000	1.4172000	1.4084000	1.4130000	1742407
GBPUSD	D	24/03/18	00:00:00	1.4129000	1.4134000	1.4128000	1.4134000	74
GBPUSD	D	25/03/18	00:00:00	1.4139000	1.4140000	1.4133000	1.4138000	138
GBPUSD	D	26/03/18	00:00:00	1.4135000	1.4245000	1.4129000	1.4226000	1652347
GBPUSD	D	27/03/18	00:00:00	1.4227000	1.4244000	1.4064000	1.4156000	1857904
GBPUSD	D	28/03/18	00:00:00	1.4157000	1.4201000	1.4069000	1.4076000	1930470
GBPUSD	D	29/03/18	00:00:00	1.4076000	1.4097000	1.4009000	1.4017000	1763586
GBPUSD	D	30/03/18	00:00:00	1.4018000	1.4060000	1.4008000	1.4015000	1156293
GBPUSD	D	31/03/18	00:00:00	1.4010000	1.4010000	1.4010000	1.4010000	1
GBPUSD	D	01/04/18	00:00:00	1.4024000	1.4026000	1.4020000	1.4020000	37
GBPUSD	D	02/04/18	00:00:00	1.4025000	1.4078000	1.4016000	1.4044000	1068621
