<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
NZDUSD	D	02/01/17	00:00:00	0.6931300	0.6952800	0.6909000	0.6928200	532698
NZDUSD	D	03/01/17	00:00:00	0.6928200	0.6974600	0.6881000	0.6916700	1481572
NZDUSD	D	04/01/17	00:00:00	0.6917200	0.6967000	0.6886000	0.6962700	1817542
NZDUSD	D	05/01/17	00:00:00	0.6962600	0.7036600	0.6949800	0.7022100	2257563
NZDUSD	D	06/01/17	00:00:00	0.7022200	0.7043400	0.6950000	0.6963500	1921499
NZDUSD	D	07/01/17	00:00:00	0.6963200	0.6965200	0.6950400	0.6956800	43312
NZDUSD	D	08/01/17	00:00:00	0.6954200	0.6962000	0.6954200	0.6960000	284
NZDUSD	D	09/01/17	00:00:00	0.6960000	0.7032500	0.6945000	0.7013400	1432605
NZDUSD	D	10/01/17	00:00:00	0.7013100	0.7047700	0.6954000	0.6990900	1862697
NZDUSD	D	11/01/17	00:00:00	0.6991000	0.7087900	0.6957000	0.7052100	2016292
NZDUSD	D	12/01/17	00:00:00	0.7052300	0.7144500	0.7042000	0.7116700	1933167
NZDUSD	D	13/01/17	00:00:00	0.7116500	0.7140600	0.7067000	0.7122700	1832382
NZDUSD	D	14/01/17	00:00:00	0.7122800	0.7130000	0.7120000	0.7125100	21738
NZDUSD	D	15/01/17	00:00:00	0.7126500	0.7126500	0.7097000	0.7100800	288
NZDUSD	D	16/01/17	00:00:00	0.7101000	0.7148600	0.7072000	0.7099000	1542951
NZDUSD	D	17/01/17	00:00:00	0.7099000	0.7209600	0.7092000	0.7204800	2092462
NZDUSD	D	18/01/17	00:00:00	0.7204200	0.7219600	0.7128000	0.7138500	1776644
NZDUSD	D	19/01/17	00:00:00	0.7138900	0.7200800	0.7113600	0.7186100	2050135
NZDUSD	D	20/01/17	00:00:00	0.7186500	0.7225300	0.7125000	0.7164900	2023225
NZDUSD	D	21/01/17	00:00:00	0.7165100	0.7169500	0.7158000	0.7165300	32636
NZDUSD	D	22/01/17	00:00:00	0.7167700	0.7167700	0.7167700	0.7167700	2
NZDUSD	D	23/01/17	00:00:00	0.7167700	0.7227400	0.7164500	0.7217800	1591003
NZDUSD	D	24/01/17	00:00:00	0.7218700	0.7277100	0.7205000	0.7245400	1734201
NZDUSD	D	25/01/17	00:00:00	0.7245600	0.7285900	0.7220700	0.7274800	1813174
NZDUSD	D	26/01/17	00:00:00	0.7275100	0.7313000	0.7218000	0.7245300	1753938
