<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
USDCAD	D	01/01/17	00:00:00	1.3438000	1.3442000	1.3434000	1.3434000	37
USDCAD	D	02/01/17	00:00:00	1.3433000	1.3453300	1.3384000	1.3433300	485499
USDCAD	D	03/01/17	00:00:00	1.3433300	1.3460900	1.3395000	1.3433500	1611378
USDCAD	D	04/01/17	00:00:00	1.3433600	1.3457300	1.3278000	1.3308500	2031134
USDCAD	D	05/01/17	00:00:00	1.3308400	1.3313200	1.3188000	1.3240600	2328788
USDCAD	D	06/01/17	00:00:00	1.3241500	1.3268100	1.3172000	1.3232000	2080307
USDCAD	D	07/01/17	00:00:00	1.3232200	1.3240500	1.3227700	1.3231000	46834
USDCAD	D	08/01/17	00:00:00	1.3237700	1.3258000	1.3233000	1.3253000	134
USDCAD	D	09/01/17	00:00:00	1.3252000	1.3277200	1.3192000	1.3229800	1504592
USDCAD	D	10/01/17	00:00:00	1.3229800	1.3257400	1.3187000	1.3226700	1940605
USDCAD	D	11/01/17	00:00:00	1.3227200	1.3294200	1.3118100	1.3174600	2244481
USDCAD	D	12/01/17	00:00:00	1.3175400	1.3185200	1.3028000	1.3131700	2109092
USDCAD	D	13/01/17	00:00:00	1.3132300	1.3168200	1.3108000	1.3128400	1991153
USDCAD	D	14/01/17	00:00:00	1.3128100	1.3128600	1.3109000	1.3109000	37738
USDCAD	D	15/01/17	00:00:00	1.3113900	1.3142000	1.3100000	1.3135000	608
USDCAD	D	16/01/17	00:00:00	1.3133500	1.3188000	1.3115000	1.3185800	1594700
USDCAD	D	17/01/17	00:00:00	1.3186300	1.3189500	1.3016000	1.3058500	2282567
USDCAD	D	18/01/17	00:00:00	1.3058000	1.3269200	1.3033000	1.3258600	2217160
USDCAD	D	19/01/17	00:00:00	1.3258700	1.3353300	1.3248000	1.3313400	2336800
USDCAD	D	20/01/17	00:00:00	1.3313500	1.3387500	1.3280000	1.3326400	2228038
USDCAD	D	21/01/17	00:00:00	1.3325300	1.3334600	1.3305800	1.3325000	58805
USDCAD	D	22/01/17	00:00:00	1.3327200	1.3327200	1.3327200	1.3327200	2
USDCAD	D	23/01/17	00:00:00	1.3327200	1.3334900	1.3241000	1.3266100	1807975
USDCAD	D	24/01/17	00:00:00	1.3265900	1.3299300	1.3103000	1.3161400	2151269
USDCAD	D	25/01/17	00:00:00	1.3161900	1.3168800	1.3056000	1.3067400	2058622
USDCAD	D	26/01/17	00:00:00	1.3066000	1.3130600	1.3049600	1.3096700	2055206
USDCAD	D	27/01/17	00:00:00	1.3097300	1.3144800	1.3082000	1.3134800	1982870
USDCAD	D	28/01/17	00:00:00	1.3136300	1.3155100	1.3133000	1.3144000	49804
USDCAD	D	29/01/17	00:00:00	1.3146000	1.3146000	1.3126000	1.3133000	315
USDCAD	D	30/01/17	00:00:00	1.3133000	1.3169400	1.3074000	1.3119600	1933727
USDCAD	D	31/01/17	00:00:00	1.3119200	1.3123800	1.2965000	1.3010500	2269874
USDCAD	D	01/02/17	00:00:00	1.3011400	1.3102500	1.3006000	1.3046600	2138893
USDCAD	D	02/02/17	00:00:00	1.3047100	1.3053600	1.2976000	1.3020400	1854178
USDCAD	D	03/02/17	00:00:00	1.3020300	1.3076500	1.2988000	1.3027700	1914987
USDCAD	D	04/02/17	00:00:00	1.3028900	1.3037900	1.3019200	1.3020000	50360
USDCAD	D	05/02/17	00:00:00	1.3022000	1.3036100	1.3022000	1.3032000	278
USDCAD	D	06/02/17	00:00:00	1.3032000	1.3135800	1.3002000	1.3085600	1623652
USDCAD	D	07/02/17	00:00:00	1.3085900	1.3212200	1.3070000	1.3166300	1647011
USDCAD	D	08/02/17	00:00:00	1.3166700	1.3200400	1.3134000	1.3152900	1636188
USDCAD	D	09/02/17	00:00:00	1.3153700	1.3168600	1.3089000	1.3140600	1523327
USDCAD	D	10/02/17	00:00:00	1.3140200	1.3158000	1.3059000	1.3085300	1509146
USDCAD	D	11/02/17	00:00:00	1.3085800	1.3093400	1.3074000	1.3076000	34966
USDCAD	D	13/02/17	00:00:00	1.3082000	1.3121800	1.3052000	1.3074500	1339540
USDCAD	D	14/02/17	00:00:00	1.3074800	1.3107100	1.3020000	1.3070000	1467642
USDCAD	D	15/02/17	00:00:00	1.3070500	1.3111800	1.3060000	1.3074100	1379244
USDCAD	D	16/02/17	00:00:00	1.3074300	1.3084000	1.3006000	1.3078500	1447194
USDCAD	D	17/02/17	00:00:00	1.3079100	1.3124400	1.3055000	1.3098800	1290512
USDCAD	D	18/02/17	00:00:00	1.3098100	1.3099400	1.3086300	1.3091200	35454
USDCAD	D	19/02/17	00:00:00	1.3095000	1.3101000	1.3091000	1.3098000	110
USDCAD	D	20/02/17	00:00:00	1.3092100	1.3119700	1.3070000	1.3100900	907796
USDCAD	D	21/02/17	00:00:00	1.3100900	1.3163800	1.3095000	1.3138100	1168102
USDCAD	D	22/02/17	00:00:00	1.3138100	1.3210000	1.3106000	1.3142500	1355037
USDCAD	D	23/02/17	00:00:00	1.3143500	1.3170100	1.3079000	1.3113700	1351937
USDCAD	D	24/02/17	00:00:00	1.3113400	1.3118800	1.3051000	1.3108400	1286669
USDCAD	D	25/02/17	00:00:00	1.3109000	1.3109400	1.3085000	1.3086000	34740
USDCAD	D	26/02/17	00:00:00	1.3101000	1.3101000	1.3086000	1.3093000	363
USDCAD	D	27/02/17	00:00:00	1.3095000	1.3165700	1.3079000	1.3159000	1238041
USDCAD	D	28/02/17	00:00:00	1.3163200	1.3296300	1.3157000	1.3280800	1402240
USDCAD	D	01/03/17	00:00:00	1.3280800	1.3357600	1.3276000	1.3334600	1686657
USDCAD	D	02/03/17	00:00:00	1.3335000	1.3402200	1.3318000	1.3398200	1435256
USDCAD	D	03/03/17	00:00:00	1.3399000	1.3437200	1.3370000	1.3376200	1466018
USDCAD	D	04/03/17	00:00:00	1.3376700	1.3380800	1.3368000	1.3373000	43510
USDCAD	D	05/03/17	00:00:00	1.3377000	1.3377000	1.3369000	1.3371000	92
USDCAD	D	06/03/17	00:00:00	1.3371000	1.3424800	1.3367000	1.3408600	1228761
USDCAD	D	07/03/17	00:00:00	1.3409000	1.3435300	1.3379000	1.3415600	1327119
USDCAD	D	08/03/17	00:00:00	1.3415100	1.3500400	1.3393000	1.3492500	1452868
USDCAD	D	09/03/17	00:00:00	1.3493400	1.3534800	1.3477000	1.3506300	1652224
USDCAD	D	10/03/17	00:00:00	1.3505600	1.3514900	1.3417000	1.3462100	1495956
USDCAD	D	11/03/17	00:00:00	1.3461900	1.3473500	1.3454700	1.3463000	46672
USDCAD	D	12/03/17	00:00:00	1.3463000	1.3469000	1.3447000	1.3449200	293
USDCAD	D	13/03/17	00:00:00	1.3463700	1.3476200	1.3426000	1.3445300	1335280
USDCAD	D	14/03/17	00:00:00	1.3446200	1.3495500	1.3435000	1.3478800	1317233
USDCAD	D	15/03/17	00:00:00	1.3478900	1.3484500	1.3291000	1.3304100	1429028
USDCAD	D	16/03/17	00:00:00	1.3303100	1.3352600	1.3272000	1.3319200	1556342
USDCAD	D	17/03/17	00:00:00	1.3319700	1.3378000	1.3300000	1.3348300	1313411
USDCAD	D	18/03/17	00:00:00	1.3347000	1.3347000	1.3343200	1.3346000	24
USDCAD	D	19/03/17	00:00:00	1.3346000	1.3350000	1.3324000	1.3344000	131
USDCAD	D	20/03/17	00:00:00	1.3340500	1.3373000	1.3300000	1.3349400	1188418
USDCAD	D	21/03/17	00:00:00	1.3349300	1.3364800	1.3261000	1.3350700	1528606
USDCAD	D	22/03/17	00:00:00	1.3349700	1.3409400	1.3316000	1.3326900	1495840
USDCAD	D	23/03/17	00:00:00	1.3327400	1.3357100	1.3311000	1.3350000	1382502
USDCAD	D	24/03/17	00:00:00	1.3347700	1.3386000	1.3341000	1.3378700	1311175
USDCAD	D	25/03/17	00:00:00	1.3378700	1.3379000	1.3373000	1.3379000	68
USDCAD	D	26/03/17	00:00:00	1.3372000	1.3379300	1.3351400	1.3353800	624
USDCAD	D	27/03/17	00:00:00	1.3355500	1.3403800	1.3317000	1.3376100	1355847
USDCAD	D	28/03/17	00:00:00	1.3376300	1.3414500	1.3349000	1.3381700	1264305
USDCAD	D	29/03/17	00:00:00	1.3380800	1.3401200	1.3319000	1.3323300	1292650
USDCAD	D	30/03/17	00:00:00	1.3325700	1.3352100	1.3273000	1.3339300	1305268
USDCAD	D	31/03/17	00:00:00	1.3338500	1.3368000	1.3279000	1.3311000	1292972
USDCAD	D	01/04/17	00:00:00	1.3309000	1.3321600	1.3309000	1.3318000	44
USDCAD	D	02/04/17	00:00:00	1.3318000	1.3321600	1.3296000	1.3319200	115
USDCAD	D	03/04/17	00:00:00	1.3322400	1.3399800	1.3294900	1.3379400	1153375
USDCAD	D	04/04/17	00:00:00	1.3378100	1.3455900	1.3369000	1.3401900	1214946
USDCAD	D	05/04/17	00:00:00	1.3401800	1.3440200	1.3375000	1.3432100	1176600
USDCAD	D	06/04/17	00:00:00	1.3432600	1.3451000	1.3393000	1.3411800	1053353
USDCAD	D	07/04/17	00:00:00	1.3411400	1.3431300	1.3338000	1.3402000	1412902
USDCAD	D	08/04/17	00:00:00	1.3402000	1.3402000	1.3402000	1.3402000	2
USDCAD	D	09/04/17	00:00:00	1.3399000	1.3401000	1.3394000	1.3399600	25
USDCAD	D	10/04/17	00:00:00	1.3404100	1.3426400	1.3317000	1.3324800	1098316
USDCAD	D	11/04/17	00:00:00	1.3323300	1.3357400	1.3305000	1.3324000	1258612
USDCAD	D	12/04/17	00:00:00	1.3324400	1.3339200	1.3236000	1.3252700	1498844
USDCAD	D	13/04/17	00:00:00	1.3253400	1.3338400	1.3219300	1.3327800	1389466
USDCAD	D	14/04/17	00:00:00	1.3326200	1.3337200	1.3305000	1.3324800	724128
USDCAD	D	15/04/17	00:00:00	1.3321000	1.3325000	1.3320400	1.3325000	19
USDCAD	D	16/04/17	00:00:00	1.3325000	1.3327000	1.3305000	1.3312000	281
USDCAD	D	17/04/17	00:00:00	1.3324700	1.3324700	1.3258000	1.3316300	963484
USDCAD	D	18/04/17	00:00:00	1.3313300	1.3399900	1.3308000	1.3378500	1437749
USDCAD	D	19/04/17	00:00:00	1.3380200	1.3490500	1.3370000	1.3483700	1301207
USDCAD	D	20/04/17	00:00:00	1.3484400	1.3499900	1.3453000	1.3469400	1267475
USDCAD	D	21/04/17	00:00:00	1.3469400	1.3525500	1.3453000	1.3495000	1200848
USDCAD	D	22/04/17	00:00:00	1.3495000	1.3495000	1.3495000	1.3495000	2
