<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
USDJPY	D	01/01/16	00:00:00	120.1940000	120.3380000	120.1270000	120.2090000	23850
USDJPY	D	02/01/16	00:00:00	120.2030000	120.2090000	120.2030000	120.2090000	4
USDJPY	D	03/01/16	00:00:00	120.1900000	120.1900000	119.9900000	120.1400000	881
USDJPY	D	04/01/16	00:00:00	120.1400000	120.4650000	118.6710000	119.4230000	1923036
USDJPY	D	05/01/16	00:00:00	119.4240000	119.7000000	118.7600000	119.0310000	1910763
USDJPY	D	06/01/16	00:00:00	119.0260000	119.1690000	118.2180000	118.4770000	2187731
USDJPY	D	07/01/16	00:00:00	118.4800000	118.7560000	117.2960000	117.5700000	2504465
USDJPY	D	08/01/16	00:00:00	117.5620000	118.8360000	117.4170000	117.4900000	2459767
USDJPY	D	09/01/16	00:00:00	117.4900000	117.5950000	117.1900000	117.2340000	44925
USDJPY	D	10/01/16	00:00:00	117.4300000	117.4300000	117.1700000	117.2140000	1067
USDJPY	D	11/01/16	00:00:00	117.1710000	118.0270000	116.6600000	117.7440000	2346724
USDJPY	D	12/01/16	00:00:00	117.7490000	118.0710000	117.2000000	117.7110000	2479987
USDJPY	D	13/01/16	00:00:00	117.7080000	118.3800000	117.6000000	117.6680000	2265389
USDJPY	D	14/01/16	00:00:00	117.6660000	118.2800000	117.2700000	118.0560000	2523372
USDJPY	D	15/01/16	00:00:00	118.0600000	118.2700000	116.4800000	116.9490000	2633008
USDJPY	D	16/01/16	00:00:00	116.9510000	117.0730000	116.8770000	116.9800000	38042
USDJPY	D	17/01/16	00:00:00	116.9600000	116.9600000	116.6670000	116.7300000	664
USDJPY	D	18/01/16	00:00:00	116.7510000	117.4600000	116.5400000	117.3400000	1703518
USDJPY	D	19/01/16	00:00:00	117.3460000	118.1140000	117.2180000	117.5710000	2271681
USDJPY	D	20/01/16	00:00:00	117.5700000	117.6850000	115.9640000	116.8630000	2785573
USDJPY	D	21/01/16	00:00:00	116.8630000	117.7800000	116.4330000	117.4890000	2995264
USDJPY	D	22/01/16	00:00:00	117.4890000	118.8790000	117.4310000	118.8320000	2420856
USDJPY	D	23/01/16	00:00:00	118.8330000	118.8570000	118.6990000	118.7100000	28126
USDJPY	D	24/01/16	00:00:00	118.5000000	118.7100000	118.4910000	118.6300000	805
USDJPY	D	25/01/16	00:00:00	118.6230000	118.8550000	118.1490000	118.2980000	2034082
USDJPY	D	26/01/16	00:00:00	118.2990000	118.6210000	117.6270000	118.4330000	2053570
USDJPY	D	27/01/16	00:00:00	118.4430000	119.0700000	118.0060000	118.6280000	2306992
